Date,Open,High,Low,Close,MAV20
2018-01-01,14112.2,14112.2,13154.7,13657.2,
2018-01-02,13625,15444.6,13163.6,14982.1,
2018-01-03,14978.2,15572.8,14844.5,15201,
2018-01-04,15270.7,15739.7,14522.2,15599.2,
2018-01-05,15477.2,17705.2,15202.8,17429.5,
2018-01-06,17462.1,17712.4,16764.6,17527,
2018-01-07,17527.3,17579.6,16087.7,16477.6,
2018-01-08,16476.2,16537.9,14208.2,15170.1,
2018-01-09,15123.7,15497.5,14424,14595.4,
2018-01-10,14588.5,14973.3,13691.2,14973.3,
2018-01-11,14968.2,15018.8,13105.9,13405.8,
2018-01-12,13453.9,14229.9,13158.1,13980.6,
2018-01-13,13952.4,14659.5,13952.4,14360.2,
2018-01-14,14370.8,14511.8,13268,13772,
2018-01-15,13767.3,14445.5,13641.7,13819.8,
2018-01-16,13836.1,13843.1,10194.9,11490.5,
2018-01-17,11431.1,11678,9402.29,11188.6,
2018-01-18,11198.8,12107.3,10942.5,11474.9,
2018-01-19,11429.8,11992.8,11172.1,11607.4,
2018-01-20,11656.2,13103,11656.2,12899.2,14180.57
2018-01-21,12889.2,12895.9,11288.2,11600.1,14077.715
2018-01-22,11633.1,11966.4,10240.2,10931.4,13875.18
2018-01-23,10944.5,11377.6,10129.7,10868.4,13658.55
2018-01-24,10903.4,11501.4,10639.8,11359.4,13446.56
2018-01-25,11421.7,11785.7,11057.4,11259.4,13138.055
2018-01-26,11256,11656.7,10470.3,11171.4,12820.275
2018-01-27,11174.9,11614.9,10989.2,11440.7,12568.43
2018-01-28,11475.3,12040.3,11475.3,11786.3,12399.24
2018-01-29,11755.5,11875.6,11179.2,11296.4,12234.29
2018-01-30,11306.8,11307.2,10036.2,10106.3,11990.94
2018-01-31,10108.2,10381.6,9777.42,10221.1,11831.705
2018-02-01,10237.3,10288.8,8812.28,9170.54,11591.202
2018-02-02,9142.28,9142.28,7796.49,8830.75,11314.7295
2018-02-03,8852.12,9430.75,8251.63,9174.91,11084.875
2018-02-04,9175.7,9334.87,8031.22,8277.01,10807.7355
2018-02-05,8270.54,8364.84,6756.68,6955.27,10580.974
2018-02-06,7051.75,7850.7,6048.26,7754,10409.244
2018-02-07,7755.49,8509.11,7236.79,7621.3,10216.564
2018-02-08,7637.86,8558.77,7637.86,8265.59,10049.4735
2018-02-09,8271.84,8736.98,7884.71,8736.98,9841.3625
2018-02-10,8720.08,9122.55,8295.47,8621.9,9692.4525
2018-02-11,8616.13,8616.13,7931.1,8129.97,9552.381
2018-02-12,8141.43,8985.92,8141.43,8926.57,9455.2895
2018-02-13,8926.72,8958.47,8455.41,8598.31,9317.235
2018-02-14,8599.92,9518.54,8599.92,9494.63,9228.9965
2018-02-15,9488.32,10234.8,9395.58,10166.4,9178.7465
2018-02-16,10135.7,10324.1,9824.82,10233.9,9118.4065
2018-02-17,10207.5,11139.5,10149.4,11112.7,9084.7265
2018-02-18,11123.4,11349.8,10326,10551.8,9047.4965
2018-02-19,10552.6,11273.8,10513.2,11225.3,9103.4465
2018-02-20,11231.8,11958.5,11231.8,11403.7,9162.5765
2018-02-21,11372.2,11418.5,10479.1,10690.4,9238.5695
2018-02-22,10660.4,11039.1,9939.09,10005,9297.282
2018-02-23,9937.07,10487.3,9734.56,10301.1,9353.5915
2018-02-24,10287.7,10597.2,9546.97,9813.07,9430.3945
2018-02-25,9796.42,9923.22,9407.06,9664.73,9565.8675
2018-02-26,9669.43,10475,9501.73,10366.7,9696.5025
2018-02-27,10393.9,10878.5,10246.1,10725.6,9851.7175
2018-02-28,10687.2,11089.8,10393.1,10397.9,9958.333
2018-03-01,10385,11052.3,10352.7,10951,10069.034
2018-03-02,10977.4,11189,10850.1,11086.4,10192.259
2018-03-03,11101.9,11528.2,11002.4,11489.7,10360.2455
2018-03-04,11497.4,11512.6,11136.1,11512.6,10489.547
2018-03-05,11532.4,11704.1,11443.9,11573.3,10638.2965
2018-03-06,11500.1,11500.1,10694.3,10779.9,10702.56
2018-03-07,10803.9,10929.5,9692.12,9965.57,10692.5185
2018-03-08,9951.44,10147.4,9335.87,9395.01,10650.574
2018-03-09,9414.69,9466.35,8513.03,9337.55,10561.8165
2018-03-10,9350.59,9531.32,8828.47,8866,10477.5265
2018-03-11,8852.78,9711.89,8607.12,9578.63,10395.193
2018-03-12,9602.93,9937.5,8956.43,9205.12,10285.264
2018-03-13,9173.04,9470.38,8958.19,9194.85,10210.4865
2018-03-14,9214.65,9355.85,8068.59,8269.81,10123.727
2018-03-15,8290.76,8428.35,7783.05,8300.86,10023.715
2018-03-16,8322.91,8585.15,8005.31,8338.35,9949.979
2018-03-17,8321.91,8346.53,7812.82,7916.88,9862.5865
2018-03-18,7890.52,8245.51,7397.99,8223.68,9755.4355
2018-03-19,8344.12,8675.87,8182.4,8630.65,9650.688
2018-03-20,8619.67,9051.02,8389.89,8913.47,9576.4665
2018-03-21,8937.48,9177.37,8846.33,8929.28,9475.3805
2018-03-22,8939.44,9100.71,8564.9,8728.47,9357.484
2018-03-23,8736.25,8879.62,8360.62,8879.62,9226.98
2018-03-24,8901.95,8996.18,8665.7,8668.12,9084.756
2018-03-25,8612.81,8682.01,8449.1,8495.78,8930.88
2018-03-26,8498.47,8530.08,7921.43,8209.4,8802.355
2018-03-27,8200,8232.78,7797.28,7833.04,8695.7285
2018-03-28,7836.83,8122.89,7809.17,7954.48,8623.702
2018-03-29,7979.07,7994.33,7081.38,7165.7,8515.1095
2018-03-30,7171.45,7276.66,6683.93,6890.52,8416.3355
2018-03-31,6892.48,7207.85,6863.52,6973.53,8286.0805
2018-04-01,7003.06,7060.95,6526.87,6844.23,8168.036
