Weeks,Tick,Weekly_rate
1,bitcoin,20.383964211124695
2,bitcoin,-6.72101860988289
3,bitcoin,-18.856280562891047
4,bitcoin,3.517609952689682
5,bitcoin,-21.734754686883928
6,bitcoin,-13.007355029161117
7,bitcoin,0.382943001858127
8,bitcoin,-1.4187439625454101
9,bitcoin,-0.22252392055094328
10,bitcoin,2.8542838916383984
11,bitcoin,-4.76191921752317
12,bitcoin,0.31081678774180777
13,bitcoin,-1.1581409049119418
14,bitcoin,2.930523291355902
15,bitcoin,4.605379394087361
16,bitcoin,-10.09529767490356
17,bitcoin,4.057109145240645
18,bitcoin,4.6110066378569625
19,bitcoin,4.525289362790352
20,bitcoin,-12.059691305800635
21,bitcoin,-9.249830630542643
22,bitcoin,10.051096533495807
23,bitcoin,17.176376487383926
24,bitcoin,-9.025613503419173
25,bitcoin,4.208307307932535
26,bitcoin,0.9058041567680641
27,bitcoin,-7.121505428875019
28,bitcoin,-14.27778618636799
29,bitcoin,-0.24242979282914634
30,bitcoin,2.522743709794062
31,bitcoin,-9.300633671145775
32,bitcoin,-2.985576533029821
33,bitcoin,-14.370444758905066
34,bitcoin,3.768313137536805
35,bitcoin,1.0282634746694441
36,bitcoin,10.76338802740715
37,bitcoin,14.250574077316314
38,bitcoin,-4.835571080930324
39,bitcoin,-20.50733030922507
40,bitcoin,12.16059861965826
41,bitcoin,-5.951387322355062
42,bitcoin,-18.73112439837421
43,bitcoin,12.975857708138228
44,bitcoin,-7.3033556201463234
45,bitcoin,18.696575000869874
46,bitcoin,-4.773125839926495
47,bitcoin,-22.8128523604325
48,bitcoin,-13.394629124286784
49,bitcoin,-19.16964944777928
50,bitcoin,-20.23392480173446
1,ethereum,29.677877783041207
2,ethereum,-8.517795138888884
3,ethereum,-21.36716115981119
4,ethereum,-0.2819631685611057
5,ethereum,-29.137931034482754
6,ethereum,-17.573989554415846
7,ethereum,4.935311454118585
8,ethereum,-1.7530973017971796
9,ethereum,-1.0222460205422723
10,ethereum,1.9465572457966207
11,ethereum,-12.61105188343995
12,ethereum,-1.7398437162716385
13,ethereum,-7.518296739853625
14,ethereum,10.539292598735827
15,ethereum,6.971457438747164
16,ethereum,-26.457642039683073
17,ethereum,1.1979259789022034
18,ethereum,-4.340624049220776
19,ethereum,-1.980689826456794
20,ethereum,-17.942295887047266
21,ethereum,-10.417648318697792
22,ethereum,1.5634460686791751
23,ethereum,3.350225870806489
24,ethereum,-11.721514867998216
25,ethereum,4.136824992310739
26,ethereum,-8.115569417516644
27,ethereum,-6.76887358898407
28,ethereum,-17.832518910234953
29,ethereum,1.566381102042902
30,ethereum,-1.2328020705625997
31,ethereum,-15.763857981709329
32,ethereum,1.212739596239354
33,ethereum,-16.72915747684164
34,ethereum,14.910484437163586
35,ethereum,6.876445325404701
36,ethereum,22.780569514237857
37,ethereum,27.878850795463393
38,ethereum,-6.600918125409871
39,ethereum,-25.03609148241016
40,ethereum,-2.3806939469590005
41,ethereum,-12.406644440885739
42,ethereum,-14.966986304565932
43,ethereum,1.9428449055346686
44,ethereum,-11.284146554290576
45,ethereum,9.73954277611837
46,ethereum,-8.31518018298375
47,ethereum,-17.27894351757341
48,ethereum,-8.65515301043155
49,ethereum,-25.58829005600035
50,ethereum,22.22563551186545
1,bitcoin-cash,151.13092930076255
2,bitcoin-cash,-22.758289283998067
3,bitcoin-cash,-37.92121775505461
4,bitcoin-cash,-4.217167524489462
5,bitcoin-cash,-46.504190844616375
6,bitcoin-cash,-30.131176999101527
7,bitcoin-cash,13.89778028829054
8,bitcoin-cash,5.595044911206104
9,bitcoin-cash,-1.9443947791882632
10,bitcoin-cash,-1.6859570482371078
11,bitcoin-cash,-12.85635641539853
12,bitcoin-cash,-3.032165539848386
13,bitcoin-cash,10.66560072156284
14,bitcoin-cash,10.7304517617822
15,bitcoin-cash,-5.426160870205566
16,bitcoin-cash,-18.484991305195752
17,bitcoin-cash,1.0870374506738223
18,bitcoin-cash,-3.5176241620413773
19,bitcoin-cash,5.335497644547171
20,bitcoin-cash,-17.722137580130504
21,bitcoin-cash,-11.494449397310802
