Date,ETH_Close,ETH_MAV20,MKR_Close,MKR_MAV20,BCH_Close,BCH_MAV20
2018-01-01,772.64,,970.09,,2432.54,
2018-01-02,884.44,,1063.07,,2711,
2018-01-03,962.72,,1074.53,,2608.69,
2018-01-04,980.92,,1040.25,,2430.18,
2018-01-05,997.72,,1096.78,,2584.48,
2018-01-06,1041.68,,1216.9,,2786.65,
2018-01-07,1153.17,,1169.35,,2786.88,
2018-01-08,1148.53,,1112.88,,2421.47,
2018-01-09,1299.74,,1096.44,,2391.56,
2018-01-10,1255.82,,1076.53,,2895.38,
2018-01-11,1154.93,,1015.16,,2462.61,
2018-01-12,1273.2,,1327.88,,2620.99,
2018-01-13,1396.42,,1422.99,,2685.29,
2018-01-14,1366.77,,1403.11,,2553.32,
2018-01-15,1291.92,,1234.02,,2401.54,
2018-01-16,1053.69,,1063.18,,1772.07,
2018-01-17,1014.25,,1046.27,,1748.05,
2018-01-18,1036.28,,1654.82,,1756.75,
2018-01-19,1039.1,,1560.26,,1769.62,
2018-01-20,1155.15,1113.9545,1690.19,1216.735,2032.12,2392.5595
2018-01-21,1049.58,1127.8015,1576.73,1247.067,1776.64,2359.7645
2018-01-22,1003.26,1133.7425,1524.56,1270.1415,1621.92,2305.3105
2018-01-23,986.23,1134.918,1523.41,1292.5855,1621.46,2255.949
2018-01-24,1058.78,1138.811,1535.29,1317.3375,1639.13,2216.3965
2018-01-25,1056.03,1141.7265,1345.57,1329.777,1642.12,2169.2785
2018-01-26,1055.17,1142.401,1472.36,1342.55,1603.9,2110.141
2018-01-27,1107.07,1140.096,1439.89,1356.077,1628.63,2052.2285
2018-01-28,1246.01,1144.97,1488.36,1374.851,1746.25,2018.4675
2018-01-29,1182.36,1139.101,1403.35,1390.1965,1657.14,1981.7465
2018-01-30,1071.13,1129.8665,1277.84,1400.262,1470.55,1910.505
2018-01-31,1118.31,1128.0355,1386.99,1418.8535,1486.89,1861.719
2018-02-01,1036.79,1116.215,1272.67,1416.093,1274.35,1794.387
2018-02-02,915.78,1092.183,1148.23,1402.355,1191.14,1719.6795
2018-02-03,964.02,1072.0455,1212.87,1392.843,1272.5,1655.6385
2018-02-04,834.68,1049.1835,1061.91,1384.2375,1165.38,1593.8305
2018-02-05,697.95,1031.3965,821.42,1372.1495,887.41,1549.5975
2018-02-06,793.12,1020.34,910.79,1365.3755,974.53,1510.9215
2018-02-07,757.07,1006.3795,914.29,1328.349,957.96,1470.982
2018-02-08,817.81,995.315,1008.62,1300.767,1284.56,1446.729
2018-02-09,883.86,981.7505,1093.8,1270.9475,1312.11,1410.7285
2018-02-10,860.41,972.292,1064.13,1245.3175,1257.31,1384.762
2018-02-11,814.66,962.862,987.8,1218.4795,1217.64,1364.548
2018-02-12,868.71,956.986,1074.47,1196.0325,1283.91,1347.6705
2018-02-13,845.26,946.31,1010.04,1169.77,1231.98,1327.313
2018-02-14,923.56,939.6865,1119.5,1158.4665,1362.27,1313.3205
2018-02-15,936.98,933.777,1136.92,1141.6945,1375.81,1301.916
2018-02-16,944.21,925.634,1143.95,1126.8975,1552.2,1298.0945
2018-02-17,974.11,912.039,1165.32,1110.7455,1551.39,1288.3515
2018-02-18,923.92,899.117,1077.59,1094.4575,1487.46,1279.8675
2018-02-19,943.86,892.7535,1111.34,1086.1325,1534.77,1283.0785
2018-02-20,895.37,881.6065,1057.06,1069.636,1418.73,1279.6705
2018-02-21,849.97,872.2655,993.29,1055.667,1308.46,1281.376
2018-02-22,812.84,867.1185,959.04,1046.2075,1219.49,1282.7935
2018-02-23,864.19,862.127,1024.78,1036.803,1270.71,1282.704
2018-02-24,840.52,862.419,986.05,1033.01,1193.27,1284.0985
2018-02-25,844.81,869.762,997.77,1041.8275,1178.1,1298.633
2018-02-26,869.32,873.572,1037.54,1048.165,1250.56,1312.4345
2018-02-27,878.27,879.632,1054.3,1055.1655,1246.66,1326.8695
2018-02-28,855.2,881.5015,1028.82,1056.1755,1204.16,1322.8495
2018-03-01,872.2,880.9185,1044.7,1053.7205,1291.92,1321.84
2018-03-02,856.85,880.7405,1015.29,1051.2785,1275.18,1322.7335
2018-03-03,857.22,882.8685,1005.8,1052.1785,1270.38,1325.3705
2018-03-04,866.68,882.767,974.04,1047.157,1289.08,1325.629
2018-03-05,853.68,883.188,968.61,1045.0855,1268.03,1327.4315
2018-03-06,816.95,877.8575,947.8,1036.5005,1206.04,1319.62
2018-03-07,752.83,868.65,856.1,1022.4595,1092.16,1305.4375
2018-03-08,704.6,856.6695,834.79,1007.0015,1040.21,1279.838
2018-03-09,728.92,844.41,827.32,990.1015,1067.02,1255.6195
2018-03-10,686.89,832.5585,795.99,976.0215,1005.93,1231.543
2018-03-11,723.34,821.5325,833.43,962.126,1145.17,1212.063
2018-03-12,699.83,811.7555,810.51,949.7985,1051.28,1193.6905
2018-03-13,690.83,803.7985,804.29,940.3485,1064.03,1181.469
2018-03-14,614.29,793.871,750.18,929.9055,949.47,1167.968
2018-03-15,611.3,781.2265,734.2,915.3765,943.64,1151.6145
2018-03-16,601.67,769.284,710.6,901.604,977.03,1140.8025
2018-03-17,552.78,754.6825,662.71,884.851,949.78,1129.3865
2018-03-18,538.64,738.1485,670.43,866.4955,938.11,1113.764
2018-03-19,556.73,722.0715,692.24,848.3925,994.67,1101.1645
2018-03-20,557.17,707.17,710.57,832.48,1059.12,1093.9125
2018-03-21,561.73,691.6465,708.19,815.6545,1033.45,1080.989
2018-03-22,539.7,675.789,686.59,799.2195,1011.52,1067.806
2018-03-23,539.62,659.909,706.5,784.2545,1019.43,1055.2585
2018-03-24,526.44,642.897,688.72,769.9885,982.3,1039.9195
2018-03-25,524.29,626.4275,680.64,755.59,966.88,1024.862
2018-03-26,489.95,610.0775,643.26,740.363,919.25,1010.5225
2018-03-27,450.12,594.942,590.98,727.107,876.33,999.731
2018-03-28,446.28,582.026,580.03,714.369,860.52,990.7465
2018-03-29,385.97,564.8785,498.16,697.911,714.27,973.109
2018-03-30,394.64,550.266,513.58,683.7905,697.01,957.663
2018-03-31,396.46,533.922,517.55,667.9965,685.25,934.667
2018-04-01,379.61,517.911,488.91,651.9165,643.03,914.2545
2018-04-02,386.42,502.6905,504.46,636.925,662.77,894.1915
2018-04-03,416.89,492.8205,526.3,625.731,712.88,882.362
2018-04-04,380.54,481.2825,503.57,614.1995,649.2,867.64
2018-04-05,383.23,470.3605,502.49,603.794,646.04,851.0905
2018-04-06,370.29,461.236,484.15,594.866,610.43,834.123
2018-04-07,385.31,453.5695,511.93,586.941,640.35,819.235
2018-04-08,400.51,445.7585,526.41,578.6495,655.26,802.2645
2018-04-09,398.53,437.8265,530.82,569.662,637.03,781.16
2018-04-10,414.24,430.452,568.91,562.698,649.62,761.9685
2018-04-11,430.54,424.994,591.49,557.943,666.58,744.7215
2018-04-12,492.94,422.66,660.29,555.6325,734.48,730.474
2018-04-13,492.73,420.9745,698.51,556.122,738.3,718.274
2018-04-14,501.48,419.834,717.08,557.944,738.98,706.879
2018-04-15,531.7,421.9215,770.71,564.3165,780.83,699.958
2018-04-16,511.15,424.973,742.04,571.8695,766.47,694.465
2018-04-17,502.89,427.8035,749.9,580.363,757.59,689.3185
2018-04-18,524.79,434.7445,775.74,594.242,888.91,698.0505
2018-04-19,567.89,443.407,851.54,611.14,968.64,711.632
2018-04-20,615.72,454.37,909.99,630.762,1128.02,733.7705
2018-04-21,605.4,465.6595,908.37,651.735,1154.69,759.3535
2018-04-22,621.86,477.4315,923.29,672.6765,1201.22,786.276
2018-04-23,642.55,488.7145,926.9,692.7065,1432.26,822.245
2018-04-24,708.16,505.0955,1047.54,719.905,1426.42,861.106
2018-04-25,615.42,516.705,898.27,739.694,1284.79,893.0435
2018-04-26,662.81,531.331,1010.22,765.9975,1420.41,933.5425
2018-04-27,647.03,544.417,996.33,790.2175,1337.85,968.4175
2018-04-28,683.68,558.5755,1064.61,817.1275,1396.25,1005.467
2018-04-29,688.88,573.093,1075.23,844.348,1440.3,1045.6305
2018-04-30,669.92,585.877,1048.72,868.3385,1350.05,1080.652
2018-05-01,673.61,598.0305,1042.01,890.8645,1351.28,1114.887
2018-05-02,687.15,607.741,1038.97,909.7985,1458.72,1151.099
2018-05-03,779.54,622.0815,1141.7,931.958,1511.97,1189.7825
2018-05-04,785.62,636.2885,1143.79,953.2935,1517.33,1228.7
2018-05-05,816.12,650.5095,1154.58,972.487,1752.1,1277.2635
2018-05-06,792.31,664.5675,1066.23,988.6965,1765.69,1327.2245
2018-05-07,753.72,677.109,1026.06,1002.5045,1655.2,1372.105
2018-05-08,752.86,688.5125,1008.54,1014.1445,1611.94,1408.2565
2018-05-09,752.28,697.732,1024.29,1022.782,1638.34,1441.7415
2018-05-10,727.28,703.31,1070.39,1030.802,1528.59,1461.77
2018-05-11,679.59,707.0195,952.77,1033.022,1371.74,1472.6225
2018-05-12,686.05,710.229,938.13,1033.764,1472.4,1486.1815
2018-05-13,733.5,714.7765,991.02,1036.97,1493.12,1489.2245
2018-05-14,730.55,715.896,958.85,1032.5355,1431.69,1489.488
2018-05-15,708.87,720.5685,927.68,1034.006,1343.38,1492.4175
2018-05-16,707.05,722.7805,899.51,1028.4705,1280.62,1485.428
2018-05-17,672.66,724.062,868.32,1022.07,1206.17,1478.844
2018-05-18,694.37,724.5965,907.4,1014.2095,1207.24,1469.3935
2018-05-19,696.53,724.979,893.81,1005.1385,1184.96,1456.6265
2018-05-20,715.37,727.2515,922.77,998.841,1291.77,1453.7125
2018-05-21,699.22,728.532,904.69,991.975,1233.64,1447.8305
2018-05-22,647.74,726.5615,859.02,982.9775,1141.86,1431.9875
2018-05-23,583.59,716.764,760.67,963.926,1005.61,1406.6695
2018-05-24,601.76,707.571,781.23,945.798,1071.36,1384.371
2018-05-25,586.73,696.1015,780.38,927.088,1017.3,1347.631
2018-05-26,587.28,685.85,755.51,911.552,1012.48,1309.9705
2018-05-27,572.67,676.7975,767.89,898.6435,996.92,1277.0565
2018-05-28,516.04,664.9565,701.75,883.304,892.12,1241.0655
2018-05-29,565.39,655.612,751.36,869.6575,987.66,1208.5315
2018-05-30,559.59,647.2275,740.53,853.1645,984.68,1181.336
2018-05-31,577.65,642.1305,752.74,843.163,995.34,1162.516
2018-06-01,580.04,636.83,770.33,834.773,1002.92,1139.042
2018-06-02,591.81,629.7455,787.65,824.6045,1084.78,1118.625
2018-06-03,618.33,624.1345,808.57,817.0905,1170.4,1105.5605
2018-06-04,592.98,618.34,794.14,810.4135,1105.8,1093.6815
2018-06-05,609.3,613.4525,799.24,805.4,1152.89,1087.295
2018-06-06,607.12,610.1755,796.97,801.8325,1131.17,1083.545
2018-06-07,605.19,605.7165,795.26,796.2255,1143.75,1080.3705
2018-06-08,601.08,600.944,784.77,790.7735,1118.19,1077.032
2018-06-09,597.56,595.0535,782.63,783.7665,1092.13,1067.05
2018-06-10,526.48,586.4165,685.63,772.8135,939.55,1052.3455
2018-06-11,533.28,580.6935,694.94,764.6095,958.56,1043.1805
